,lumber,oil,dollar-index,spy_futures,vix,ten year bond,three year bond,macro_csv\ACDGNO.csv,macro_csv\ADXTNO.csv,macro_csv\ANDENO.csv,macro_csv\AWHMAN.csv,macro_csv\CMRMTSPL.csv,macro_csv\commodity-price-index-300.csv,macro_csv\energy-price-index-300.csv,macro_csv\FF.csv,macro_csv\food-and-beverage-price-index-300.csv,macro_csv\industrial-inputs-price-index-300.csv,macro_csv\IPBUSEQ.csv,macro_csv\IPMAT.csv,macro_csv\IPMINE.csv,macro_csv\IPUTIL.csv,macro_csv\metals-price-index-300.csv,macro_csv\NEWORDER.csv,macro_csv\NPPTTL.csv,macro_csv\PERMIT.csv,macro_csv\PERMIT1.csv,macro_csv\PERMIT5.csv,macro_csv\T10YIE.csv,macro_csv\TCU.csv,macro_csv\UEMPMEAN.csv,real_interest_rate,inflation_consumer_prices_annual,gdp_growth_annual,debt_percent_gdp,net_trades_goods_services,exports_of_goods_services_percent_gdp,imports_of_goods_services_percent_gdp,gni_usd,market_cap_domestic_companies_percent_gdp,merchandise_trade_percent_gdp,labels
2014-01-24,0.1439008894536213,-0.0989203654147826,-0.0058692796011837,0.0543381699733491,-0.08512157506072,0.1583565161566447,2.4299610894941632,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,0.14390099,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-27,0.1400630914826497,-0.1193341174341807,-0.0069211822660097,0.0483370288248337,-0.145430245816398,0.149500955616904,2.75864502470007,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,0.14006305,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-01-28,0.1521531100478468,-0.1005295836376917,-0.008813600932916,0.0627116148976887,-0.225998855818323,0.1573875802997859,3.0317940953822857,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,0.15215313,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-01-29,0.1752577319587629,-0.0926529472017878,-0.0153165128105069,0.0490467180905254,-0.1691934506111786,0.1575692963752664,3.0598031794095384,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,0.17525768,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-30,0.1844596800522364,-0.0935291930085533,-0.0180784495142557,0.0564774381368267,-0.1534800717235726,0.1558635394456289,3.078728236184709,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,0.18445969,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-01-31,0.1441528992549401,-0.1104972375690608,-0.0146088480923279,0.0706314243759178,-0.1446208115841208,0.1282426778242675,3.0059612518628915,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,0.14415288,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-02-03,0.10977538753559,-0.0991590426023472,-0.0216380869164208,0.0804903263919656,-0.1149910132993065,0.1103589743589743,2.878031383737518,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,0.109775305,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-02-04,0.0908239700374533,-0.0879069331081715,-0.0191837479472051,0.0850812407680945,-0.0503778454011067,0.1076324943728259,2.8765081618168917,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,0.09082401,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-02-05,0.0448484848484849,-0.0698159741984443,-0.0293583974452025,0.0894260714815364,-0.1255548787847927,0.1140152294710845,2.8367203924316744,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,0.044848442,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-02-06,0.0167114294240524,-0.0835569538262236,-0.0225394623145545,0.0840472673559822,-0.1488959339780613,0.1192148760330578,2.666,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,0.016711473,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
