"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","99,725,450.00","0.15","99,725,450.00","1,286,780.00","77.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KFY","KORN FERRY","Industrials","Equity","99,608,562.80","0.15","99,608,562.80","1,303,777.00","76.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCMP","CMC MATERIALS INC","Information Technology","Equity","99,442,938.32","0.15","99,442,938.32","681,256.00","145.97","United States","NASDAQ","USD","1.00","USD","-"
"PZZA","PAPA JOHNS INTERNATIONAL INC","Consumer Discretionary","Equity","98,972,004.36","0.15","98,972,004.36","772,374.00","128.14","United States","NASDAQ","USD","1.00","USD","-"
"TGNA","TEGNA INC","Communication","Equity","98,807,039.28","0.15","98,807,039.28","5,178,566.00","19.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WD","WALKER & DUNLOP INC","Financials","Equity","98,341,604.76","0.15","98,341,604.76","695,436.00","141.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LXP","LEXINGTON REALTY TRUST REIT","Real Estate","Equity","98,287,743.48","0.15","98,287,743.48","6,449,327.00","15.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","97,783,961.15","0.15","97,783,961.15","1,237,615.00","79.01","United States","NASDAQ","USD","1.00","USD","-"
"HASI","HANNON ARMSTRONG SUSTAINABLE INFRA","Financials","Equity","97,607,663.93","0.15","97,607,663.93","1,789,981.00","54.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FELE","FRANKLIN ELECTRIC INC","Industrials","Equity","97,580,661.42","0.15","97,580,661.42","1,077,406.00","90.57","United States","NASDAQ","USD","1.00","USD","-"
"SXT","SENSIENT TECHNOLOGIES CORP","Materials","Equity","97,563,882.21","0.15","97,563,882.21","998,709.00","97.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRFT","PERFICIENT INC","Information Technology","Equity","97,449,235.98","0.15","97,449,235.98","767,982.00","126.89","United States","NASDAQ","USD","1.00","USD","-"
"LTHM","LIVENT CORP","Materials","Equity","96,769,831.17","0.15","96,769,831.17","3,814,341.00","25.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DNLI","DENALI THERAPEUTICS INC","Health Care","Equity","96,692,344.98","0.15","96,692,344.98","2,138,738.00","45.21","United States","NASDAQ","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","96,232,277.68","0.14","96,232,277.68","2,840,386.00","33.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HRI","HERC HOLDINGS INC","Industrials","Equity","96,214,141.60","0.14","96,214,141.60","588,106.00","163.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HGV","HILTON GRAND VACATIONS INC","Consumer Discretionary","Equity","95,995,502.46","0.14","95,995,502.46","2,034,234.00","47.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTDR","MATADOR RESOURCES","Energy","Equity","95,874,598.08","0.14","95,874,598.08","2,610,964.00","36.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SFBS","SERVISFIRST BANCSHARES INC","Financials","Equity","95,850,801.48","0.14","95,850,801.48","1,186,566.00","80.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FATE","FATE THERAPEUTICS INC","Health Care","Equity","95,773,677.11","0.14","95,773,677.11","1,908,983.00","50.17","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","95,760,306.72","0.14","95,760,306.72","2,509,442.00","38.16","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","95,511,092.40","0.14","95,511,092.40","1,396,361.00","68.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PACB","PACIFIC BIOSCIENCES OF CALIFORNIA","Health Care","Equity","95,356,775.64","0.14","95,356,775.64","4,571,274.00","20.86","United States","NASDAQ","USD","1.00","USD","-"
"SKY","SKYLINE CHAMPION CORP","Consumer Discretionary","Equity","95,020,552.11","0.14","95,020,552.11","1,228,767.00","77.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPT","SPROUT SOCIAL INC CLASS A","Information Technology","Equity","94,853,944.41","0.14","94,853,944.41","1,056,633.00","89.77","United States","NASDAQ","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","94,682,247.60","0.14","94,682,247.60","1,154,380.00","82.02","United States","NASDAQ","USD","1.00","USD","-"
"FUL","HB FULLER","Materials","Equity","94,638,954.27","0.14","94,638,954.27","1,227,961.00","77.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","94,050,390.33","0.14","94,050,390.33","1,444,041.00","65.13","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE CORP","Health Care","Equity","93,725,878.08","0.14","93,725,878.08","1,113,663.00","84.16","United States","NASDAQ","USD","1.00","USD","-"
"DOC","PHYSICIANS REALTY TRUST REIT","Real Estate","Equity","93,394,043.76","0.14","93,394,043.76","5,125,908.00","18.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
